nodo_id,cvegeo,ciudad,municipio,cve_mun,es_cabecera,conglomerado,nombre_conglomerado,metodo,peso,area_urbana_celda_km2,dist_centro_km,n_nodos_dentro,n_nodos_ciudad,calidad,region
3808,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.008741,0.9772,9.76,6,17,alta,Fronteriza
3771,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.008171,0.9134,8.522,6,17,alta,Fronteriza
3838,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.004442,0.4965,11.09,6,17,alta,Fronteriza
3907,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.001097,0.1226,9.679,6,17,alta,Fronteriza
3906,280220001,Heroica Matamoros,Matamoros,022,True,52,Heroica Matamoros,celda,0.00066,0.0738,11.59,6,17,alta,Fronteriza
2332,280160001,Hidalgo,Hidalgo,016,True,13,Hidalgo,celda,0.777365,3.0076,1.594,0,2,baja,Centro
2331,280160001,Hidalgo,Hidalgo,016,True,13,Hidalgo,celda,0.222635,0.8614,2.555,0,2,baja,Centro
1299,280170001,Jaumave,Jaumave,017,True,7,Jaumave,dentro,0.999265,4.2298,0.497,1,2,media,Altiplano
1298,280170001,Jaumave,Jaumave,017,True,7,Jaumave,celda,0.000735,0.0031,4.026,1,2,media,Altiplano
1196,280190001,Llera de Canales,Llera,019,True,6,Llera de Canales,celda,0.89607,3.2188,1.617,0,2,baja,Centro
1136,280190001,Llera de Canales,Llera,019,True,6,Llera de Canales,celda,0.10393,0.3733,2.853,0,2,baja,Centro
554,280110001,Loma Alta (Loma Alta de Gómez Farías),Gómez Farías,011,False,24,Loma Alta (Loma Alta de Gómez Farías),celda,1.0,1.295,0.916,0,1,baja,Mante
4128,280250015,Los Guerra,Miguel Alemán,025,False,16,Ciudad Miguel Alemán,celda,0.543456,1.0981,2.696,0,3,baja,Fronteriza
4127,280250015,Los Guerra,Miguel Alemán,025,False,16,Ciudad Miguel Alemán,celda,0.230716,0.4662,3.026,0,3,baja,Fronteriza
4139,280250015,Los Guerra,Miguel Alemán,025,False,16,Ciudad Miguel Alemán,celda,0.225828,0.4563,3.245,0,3,baja,Fronteriza
4146,280240001,Mier,Mier,024,True,17,Mier,celda,0.536231,3.0209,2.277,0,4,baja,Fronteriza
4138,280240001,Mier,Mier,024,True,17,Mier,celda,0.424555,2.3918,2.642,0,4,baja,Fronteriza
4137,280240001,Mier,Mier,024,True,17,Mier,celda,0.038851,0.2189,3.764,0,4,baja,Fronteriza
4145,280240001,Mier,Mier,024,True,17,Mier,celda,0.000362,0.002,3.517,0,4,baja,Fronteriza
1508,280260001,Miquihuana,Miquihuana,026,True,9,Miquihuana,celda,0.777153,1.8343,1.667,0,2,baja,Altiplano
1507,280260001,Miquihuana,Miquihuana,026,True,9,Miquihuana,celda,0.222847,0.526,2.617,0,2,baja,Altiplano
