nodo_id_viejo,location_id,nodo_id_nuevo
1471,1489636,213
1472,1489636,213
1473,1489637,168
1474,1489637,168
1475,1489638,128
1476,1489638,128
1477,1489639,92
1478,1489639,92
1479,1489640,58
1480,1489640,58
1481,1489641,33
1482,1490829,705
1483,1490830,658
1484,1490830,658
1485,1490831,608
1486,1490831,608
1487,1490832,551
1488,1490832,551
1489,1490833,497
1490,1490833,497
1491,1490834,443
1492,1490834,443
1493,1490835,400
1494,1490835,400
1495,1490836,358
1496,1490836,358
1497,1490837,310
1498,1490837,310
1499,1490838,264
1500,1490838,264
1501,1490839,214
1502,1490839,214
1503,1490840,169
1504,1490840,169
1505,1490841,129
1506,1490841,129
1507,1490842,93
1508,1490842,93
1509,1490843,59
1510,1490843,59
1511,1490844,34
1512,1490829,705
1513,1490830,658
1514,1490830,658
1515,1490831,608
1516,1490831,608
1517,1490832,551
1518,1490832,551
1519,1490833,497
1520,1490833,497
1521,1490834,443
1522,1490834,443
1523,1490835,400
1524,1490835,400
1525,1490836,358
1526,1490836,358
1527,1490837,310
1528,1490837,310
1529,1490838,264
1530,1490838,264
1531,1490839,214
1532,1490839,214
1533,1490840,169
1534,1490840,169
1535,1490841,129
1536,1490841,129
1537,1490842,93
1538,1490842,93
1539,1490843,59
1540,1490843,59
1541,1490844,34
1542,1492032,706
1543,1492033,659
1544,1492033,659
1545,1492034,609
1546,1492034,609
1547,1492035,552
1548,1492035,552
1549,1492036,498
1550,1492036,498
1551,1492037,444
1552,1492037,444
1553,1492038,401
1554,1492038,401
1555,1492039,359
1556,1492039,359
1557,1492040,311
1558,1492040,311
1559,1492041,265
1560,1492041,265
1561,1492042,215
1562,1492042,215
1563,1492043,170
1564,1492043,170
1565,1492044,130
1566,1492044,130
1567,1492045,94
1568,1492045,94
1569,1492046,60
1570,1492046,60
1571,1492047,35
1572,1492032,706
1573,1492033,659
1574,1492033,659
1575,1492034,609
1576,1492034,609
1577,1492035,552
1578,1492035,552
1579,1492036,498
1580,1492036,498
1581,1492037,444
1582,1492037,444
1583,1492038,401
1584,1492038,401
1585,1492039,359
1586,1492039,359
1587,1492040,311
1588,1492040,311
1589,1492041,265
1590,1492041,265
1591,1492042,215
1592,1492042,215
1593,1492043,170
1594,1492043,170
1595,1492044,130
1596,1492044,130
1597,1492045,94
1598,1492045,94
1599,1492046,60
1600,1493237,707
1601,1493238,660
1602,1493238,660
1603,1493239,610
1604,1493239,610
1605,1493240,553
1606,1493240,553
1607,1493241,499
1608,1493241,499
1609,1493242,445
1610,1493242,445
1611,1493243,402
1612,1493243,402
1613,1493244,360
1614,1493244,360
1615,1493245,312
1616,1493245,312
1617,1493246,266
1618,1493246,266
1619,1493247,216
1620,1493247,216
1621,1493248,171
1622,1493248,171
1623,1493249,131
1624,1493249,131
1625,1493250,95
1626,1493250,95
1627,1493251,61
1628,1493237,707
1629,1493238,660
1630,1493238,660
1631,1493239,610
1632,1493239,610
1633,1493240,553
1634,1493240,553
1635,1493241,499
1636,1493241,499
1637,1493242,445
1638,1493242,445
1639,1493243,402
1640,1493243,402
1641,1493244,360
1642,1493244,360
1643,1493245,312
1644,1493245,312
1645,1493246,266
1646,1493246,266
1647,1493247,216
1648,1493247,216
1649,1493248,171
1650,1493248,171
1651,1493249,131
