nodo_id,region
1783,Altiplano
1784,Altiplano
1785,Centro
1786,Centro
1787,Centro
1788,Centro
1789,Centro
1790,Centro
1791,Centro
1792,Centro
1793,Centro
1794,Centro
1795,Centro
1796,Centro
1797,Centro
1798,Centro
1799,Centro
1800,Centro
1801,Centro
1802,Centro
1803,Centro
1804,Centro
1805,Centro
1806,Centro
1807,Centro
1808,Centro
1809,Centro
1810,Centro
1811,Centro
1812,Centro
1813,Centro
1814,Centro
1815,Centro
1816,Centro
1817,Centro
1818,Centro
1819,Centro
1820,Centro
1821,Centro
1822,Centro
1823,Centro
1824,Centro
1825,Altiplano
1826,Altiplano
1827,Altiplano
1828,Altiplano
1829,Altiplano
1830,Altiplano
1831,Altiplano
1832,Centro
1833,Centro
1834,Centro
1835,Centro
1836,Centro
1837,Centro
1838,Centro
1839,Centro
1840,Centro
1841,Centro
1842,Centro
1843,Centro
1844,Centro
1845,Centro
1846,Centro
1847,Centro
1848,Centro
1849,Centro
1850,Centro
1851,Centro
1852,Centro
1853,Centro
1854,Centro
1855,Centro
1856,Centro
1857,Centro
1858,Centro
1859,Centro
1860,Centro
1861,Centro
1862,Centro
1863,Centro
1864,Centro
1865,Centro
1866,Centro
1867,Centro
1868,Centro
1869,Centro
1870,Altiplano
1871,Centro
1872,Centro
1873,Centro
1874,Centro
1875,Centro
1876,Centro
1877,Centro
1878,Centro
1879,Centro
1880,Centro
1881,Centro
1882,Centro
1883,Centro
1884,Centro
1885,Centro
1886,Centro
1887,Centro
1888,Centro
1889,Centro
1890,Centro
1891,Centro
1892,Centro
1893,Centro
1894,Centro
1895,Centro
1896,Centro
1897,Centro
1898,Centro
1899,Centro
1900,Centro
1901,Centro
1902,Centro
1903,Centro
1904,Centro
1905,Centro
1906,Centro
1907,Centro
1908,Centro
1909,Centro
1910,Centro
1911,Centro
1912,Centro
1913,Centro
1914,Altiplano
1915,Centro
1916,Centro
1917,Centro
1918,Centro
1919,Centro
1920,Centro
1921,Centro
1922,Centro
1923,Centro
1924,Centro
1925,Centro
1926,Centro
1927,Centro
1928,Centro
1929,Centro
1930,Centro
1931,Centro
1932,Centro
1933,Centro
1934,Centro
1935,Centro
1936,Centro
1937,Centro
1938,Centro
1939,Centro
1940,Centro
1941,Centro
1942,Centro
1943,Centro
1944,Centro
1945,Centro
1946,Centro
1947,Centro
1948,Centro
1949,Centro
1950,Centro
1951,Centro
1952,Centro
1953,Centro
1954,Centro
1955,Centro
1956,Centro
1957,Centro
1958,Centro
1959,Centro
1960,Centro
1961,Centro
1962,Centro
1963,Centro
1964,Centro
1965,Centro
1966,Centro
1967,Centro
1968,Centro
1969,Centro
1970,Centro
1971,Centro
1972,Centro
1973,Centro
1974,Centro
1975,Centro
1976,Centro
1977,Centro
1978,Centro
1979,Centro
1980,Centro
1981,Centro
1982,Centro
1983,Centro
1984,Centro
1985,Centro
1986,Centro
1987,Centro
1988,Centro
1989,Centro
1990,Centro
1991,Centro
1992,Centro
1993,Centro
1994,Centro
1995,Centro
1996,Centro
1997,Centro
1998,Centro
1999,Centro
2000,Centro
